"Energy Meters" 
"energyMeter", "I1 Target", "I2 Target", "I3 Target", "I1 Calc", "I2 Calc", "I3 Calc", "I1 %Err", "I2 %Err", "I3 %Err"

"Sensors" 
"Sensor", "I1 Target", "I2 Target", "I3 Target", "I1 Calc", "I2 Calc", "I3 Calc", "I1 %Err", "I2 %Err", "I3 %Err", "V1 Target", "V2 Target", "V3 Target", "V1 Calc", "V2 Calc", "V3 Calc", "V1 %Err", "V2 %Err", "V3 %Err", "WLS Voltage Err", "WLS Current Err"
"Sensor.LINE1", 370.39, 370.39, 370.39, 727.252, 727.252, 727.252, -96.3476, -96.3476, -96.3476, 66.754, 66.754, 66.754, 10197.8, 10197.8, 10197.8, -15176.7, -15176.7, -15176.7, 3.1197E008, 1.17512E006
"Sensor.LINE2", 1410.7, 1410.7, 1410.7, 166.91, 166.91, 166.91, 88.1683, 88.1683, 88.1683, 0, 0, 0, 10197.8, 10197.8, 10197.8, -1.01978E009, -1.01978E009, -1.01978E009, 0, -5.88665E006
"Sensor.LINE3", 1770, 1770, 1770, 5662.83, 5662.83, 5662.83, -219.934, -219.934, -219.934, 73.071, 73.071, 73.071, 1924.4, 1924.4, 1924.4, -2533.61, -2533.61, -2533.61, 1.1094E007, 8.68042E007
"Sensor.LINE5", 678.14, 678.14, 678.14, 1924.4, 1924.4, 1924.4, -183.777, -183.777, -183.777, 0, 0, 0, 42061.4, 42061.4, 42061.4, -4.20614E009, -4.20614E009, -4.20614E009, 0, 9.73038E006
"Sensor.LINE6", 240.24, 240.24, 240.24, 934.692, 934.692, 934.692, -289.066, -289.066, -289.066, 0, 0, 0, 3618.68, 3618.68, 3618.68, -3.61868E008, -3.61868E008, -3.61868E008, 0, 2.4478E006
"Sensor.LINE7", 775.52, 775.52, 775.52, 2116.21, 2116.21, 2116.21, -172.877, -172.877, -172.877, 0, 0, 0, 166.91, 166.91, 166.91, -1.66909E007, -1.66909E007, -1.66909E007, 0, 1.16308E007
"Sensor.LINE8", 599.25, 599.25, 599.25, 2101.6, 2101.6, 2101.6, -250.705, -250.705, -250.705, 0, 0, 0, 26442, 26442, 26442, -2.6442E009, -2.6442E009, -2.6442E009, 0, 1.21728E007
"Sensor.LINE9", 506.4, 506.4, 506.4, 1215.87, 1215.87, 1215.87, -140.102, -140.102, -140.102, 0, 0, 0, 1.86258E006, 1.86258E006, 1.86258E006, -1.86258E011, -1.86258E011, -1.86258E011, 0, 3.66573E006
"Sensor.LINE10", 394.9, 394.9, 394.9, 157.252, 157.252, 157.252, 60.1792, 60.1792, 60.1792, 0, 0, 0, 7774.31, 7774.31, 7774.31, -7.77431E008, -7.77431E008, -7.77431E008, 0, -393653
"Sensor.LINE11", 99.937, 99.937, 99.937, 74.2859, 74.2859, 74.2859, 25.6672, 25.6672, 25.6672, 0, 0, 0, 0, 0, 0, 100, 100, 100, 0, -13407
"Sensor.LINE12", 939.79, 939.79, 939.79, 446.678, 446.678, 446.678, 52.4704, 52.4704, 52.4704, 0, 0, 0, 0, 0, 0, 100, 100, 100, 0, -2.05105E006
"Sensor.LINE13", 417.06, 417.06, 417.06, 508.936, 508.936, 508.936, -22.0294, -22.0294, -22.0294, 0, 0, 0, 0, 0, 0, 100, 100, 100, 0, 255230
"Sensor.LINE14", 340.29, 340.29, 340.29, 461.641, 461.641, 461.641, -35.661, -35.661, -35.661, 0, 0, 0, 0, 0, 0, 100, 100, 100, 0, 291944
"Sensor.LINE15", 199.49, 199.49, 199.49, 342.429, 342.429, 342.429, -71.6523, -71.6523, -71.6523, 0, 0, 0, 0, 0, 0, 100, 100, 100, 0, 232385
"Sensor.LINE16", 446.89, 446.89, 446.89, 156.476, 156.476, 156.476, 64.9856, 64.9856, 64.9856, 0, 0, 0, 0, 0, 0, 100, 100, 100, 0, -525678
"Sensor.LINE17", 339.68, 339.68, 339.68, 333.811, 333.811, 333.811, 1.72782, 1.72782, 1.72782, 11.724, 11.724, 11.724, 0, 0, 0, 100, 100, 100, -412.357, -11858.3
