System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] = 0.006818863705 + j -1000.068189
[   2,   1] = -0.003409431852 + j0.03409431852
[   3,   1] = -0.003409431852 + j0.03409431852
[   4,   1] = -0.1565262678 + j  1.565262678
[   5,   1] =  0.1565262678 + j -1.565262678
[   2,   2] = 0.006818863705 + j -1000.068189
[   3,   2] = -0.003409431852 + j0.03409431852
[   5,   2] = -0.1565262678 + j  1.565262678
[   6,   2] =  0.1565262678 + j -1.565262678
[   3,   3] = 0.006818863705 + j -1000.068189
[   4,   3] =  0.1565262678 + j -1.565262678
[   6,   3] = -0.1565262678 + j  1.565262678
[   4,   4] =   14.77666621 + j -101.0157171
[   5,   4] =  -4.013727548 + j  11.40439516
[   6,   4] =  -2.006491056 + j  8.052254967
[   7,   4] =  -7.590579623 + j  29.15484982
[   8,   4] =   4.013727548 + j -11.40439516
[   9,   4] =   2.006491056 + j -8.052254967
[   5,   5] =   16.23502132 + j -103.2179983
[   6,   5] =  -4.013727548 + j  11.40439516
[   7,   5] =   4.013727548 + j -11.40439516
[   8,   5] =  -9.048934734 + j    31.357131
[   9,   5] =   4.013727548 + j -11.40439516
[   6,   6] =   14.77666621 + j -101.0157171
[   7,   6] =   2.006491056 + j -8.052254967
[   8,   6] =   4.013727548 + j -11.40439516
[   9,   6] =  -7.590579623 + j  29.15484982
[   7,   7] =   16.10088635 + j -58.99949496
[   8,   7] =  -8.027455096 + j  22.80879032
[   9,   7] =  -4.012982112 + j  16.10450993
[  10,   7] =  -7.590579623 + j  29.15484982
[  11,   7] =   4.013727548 + j -11.40439516
[  12,   7] =   2.006491056 + j -8.052254967
[   8,   8] =   19.01759657 + j -63.40405732
[   9,   8] =  -8.027455096 + j  22.80879032
[  10,   8] =   4.013727548 + j -11.40439516
[  11,   8] =  -9.048934734 + j    31.357131
[  12,   8] =   4.013727548 + j -11.40439516
[   9,   9] =   16.10088635 + j -58.99949496
[  10,   9] =   2.006491056 + j -8.052254967
[  11,   9] =   4.013727548 + j -11.40439516
[  12,   9] =  -7.590579623 + j  29.15484982
[  10,  10] =   16.10088635 + j -58.99949496
[  11,  10] =  -8.027455096 + j  22.80879032
[  12,  10] =  -4.012982112 + j  16.10450993
[  13,  10] =  -7.590579623 + j  29.15484982
[  14,  10] =   4.013727548 + j -11.40439516
[  15,  10] =   2.006491056 + j -8.052254967
[  11,  11] =   19.01759657 + j -63.40405732
[  12,  11] =  -8.027455096 + j  22.80879032
[  13,  11] =   4.013727548 + j -11.40439516
[  14,  11] =  -9.048934734 + j    31.357131
[  15,  11] =   4.013727548 + j -11.40439516
[  12,  12] =   16.10088635 + j -58.99949496
[  13,  12] =   2.006491056 + j -8.052254967
[  14,  12] =   4.013727548 + j -11.40439516
[  15,  12] =  -7.590579623 + j  29.15484982
[  13,  13] =   16.10088635 + j -58.99949496
[  14,  13] =  -8.027455096 + j  22.80879032
[  15,  13] =  -4.012982112 + j  16.10450993
[  16,  13] =  -7.590579623 + j  29.15484982
[  17,  13] =   4.013727548 + j -11.40439516
[  18,  13] =   2.006491056 + j -8.052254967
[  14,  14] =   19.01759657 + j -63.40405732
[  15,  14] =  -8.027455096 + j  22.80879032
[  16,  14] =   4.013727548 + j -11.40439516
[  17,  14] =  -9.048934734 + j    31.357131
[  18,  14] =   4.013727548 + j -11.40439516
[  15,  15] =   16.10088635 + j -58.99949496
[  16,  15] =   2.006491056 + j -8.052254967
[  17,  15] =   4.013727548 + j -11.40439516
[  18,  15] =  -7.590579623 + j  29.15484982
[  16,  16] =   16.10088635 + j -58.99949496
[  17,  16] =  -8.027455096 + j  22.80879032
[  18,  16] =  -4.012982112 + j  16.10450993
[  19,  16] =  -7.590579623 + j  29.15484982
[  20,  16] =   4.013727548 + j -11.40439516
[  21,  16] =   2.006491056 + j -8.052254967
[  17,  17] =   19.01759657 + j -63.40405732
[  18,  17] =  -8.027455096 + j  22.80879032
[  19,  17] =   4.013727548 + j -11.40439516
[  20,  17] =  -9.048934734 + j    31.357131
[  21,  17] =   4.013727548 + j -11.40439516
[  18,  18] =   16.10088635 + j -58.99949496
[  19,  18] =   2.006491056 + j -8.052254967
[  20,  18] =   4.013727548 + j -11.40439516
[  21,  18] =  -7.590579623 + j  29.15484982
[  19,  19] =   7.820511398 + j -29.32729865
[  20,  19] =  -4.013727548 + j  11.40439516
[  21,  19] =  -2.006491056 + j  8.052254967
[  20,  20] =   9.278866509 + j -31.52957983
[  21,  20] =  -4.013727548 + j  11.40439516
[  21,  21] =   7.820511398 + j -29.32729865
